node_id,label,domain,color,weight_importance,Z_ETHICS,Z_MMLU,Z_GPQA_PhD,Z_RedTeaming
45,tures + komment,MMLU,#3498db,6.417143821716309,0.0,1.0684905112351692,0.0,0.7486773999417473
46,cosmetic + onomy,RedTeaming,#34495e,6.407474517822266,0.0,0.4428132411782497,0.0,1.2139000971863037
47,Intercept + 才是真正,MMLU,#3498db,6.4002485275268555,0.0,5.0347608182697305,0.0,1.8751565789152982
48,ulum + ipsis,MMLU,#3498db,6.380762100219727,0.0,0.9189237283834429,0.0,0.6959089654614783
49,TimeZone + 什么样的,MMLU,#3498db,6.3714189529418945,0.0,0.8393736131570931,0.0,0.6497946002848168
50,oot + Bind,MMLU,#3498db,6.3568549156188965,0.0,0.9311513039400757,0.0,0.3512951088318907
51,Handy + rev,MMLU,#3498db,6.343367099761963,0.0,5.0262703106064945,0.0,1.5205397673874617
52,信息发布 + 发展中,RedTeaming,#34495e,6.333446025848389,0.0,3.6656677556866284,0.0,5.879715016278887
53,Bour + adoo,RedTeaming,#34495e,6.317638874053955,0.0,0.6515088666790902,0.0,1.4079885099615266
54,PEND + TERS,MMLU,#3498db,6.315224647521973,0.0,2.325022557333453,0.0,2.164157104385175
55,化进程 + Lester,RedTeaming,#34495e,6.29953670501709,0.0,0.5580814678577626,0.0,1.4753337545255112
56,Curry + avis,MMLU,#3498db,6.290071964263916,0.0,1.3026882360085235,0.0,0.45027447576133717
57,able + leggings,MMLU,#3498db,6.285908222198486,0.0,1.2784669208087662,0.0,0.3655929053780625
58,olla + 很大程度,RedTeaming,#34495e,6.271607398986816,0.0,0.6986589382474537,0.0,1.39585848035311
59,ohana + ych,RedTeaming,#34495e,6.265956878662109,0.0,4.914616416376237,0.0,6.366280862160244
60,Bloom + resorts,MMLU,#3498db,6.2508063316345215,0.0,1.4045984237396802,0.0,0.6408331143319088
61,Esp + POT,RedTeaming,#34495e,6.241650104522705,0.0,0.5271813771016807,0.0,1.8756262337336622
62,aza + xlabel,MMLU,#3498db,6.227901935577393,0.0,0.47561124879968203,0.0,0.3823028284289219
63,nier + Cro,RedTeaming,#34495e,6.226764678955078,0.0,0.9024803618626641,0.0,1.588708151511476
64,Kennedy + Kenn,RedTeaming,#34495e,6.216403484344482,0.0,0.9175697968003821,0.0,2.6669417112072265
65,也有一些 + uty,RedTeaming,#34495e,6.212027072906494,0.0,0.604022771891959,0.0,2.121453153262634
66,phalt + kla,RedTeaming,#34495e,6.195012092590332,0.0,2.4923722595607707,0.0,3.625556013340937
67,Jeff + 这个地图,MMLU,#3498db,6.1809306144714355,0.0,1.6437649352855812,0.0,0.17546280817215126
68,Pros + miss,RedTeaming,#34495e,6.179320335388184,0.0,1.5561293628908435,0.0,3.410468690470275
69,COPYING + shal,RedTeaming,#34495e,6.169790267944336,0.0,1.6099880230842512,0.0,3.0929367473774625
70,Evelyn + paralleled,MMLU,#3498db,6.1611247062683105,0.0,0.9820874575441715,0.0,0.6884005053159304
